"","SampleID","id_fixed","sample_input_complete","SampleName","StudyID","ProjectID","Biosample","Accession_Number","GOLD_analysis_projectID","GOLD_sequencing_projectID","JGI_study","JGI_biosample","sample_type","has_paired_data","amplicon_target","F_primer","R_primer","geo_loc_name","GAZ_id","lat","lon","collection_date","NOAA_Site","env_broad_scale","env_local_scale","env_medium","keywords","depth","depth_sediment","depth_at_sampling_location","size_frac_low","size_frac_up","pH","temp","calcium","potassium","Phosphate","magnesium","ammonium","nitrate","diss_oxygen","conduc","secchi","turbidity","part_microcyst","diss_microcyst","ext_phyco","ext_microcyst","ext_Anatox","chlorophyl","tot_phos","diss_phosp","soluble_react_phosp","ammonia","Nitrate_Nitrite","nitrite","urea","part_org_carb","part_org_nitro","diss_org_carb","Col_DOM","H2O2","suspend_part_matter","suspend_vol_solid","microcystis_count","planktothrix_count","anabaena_D_count","cylindrospermopsis_count","ice_cover","chlorophyl_fluoresence","sampling_device","modified_or_experimental","is_isolate","is_blank_neg_control","is_mock_community_or_pos_control","samp_vol_we_dna_ext","filtration_duration","qPCR_total","qPCR_mcyE","qPCR_sxtA","silicate","tot_nit","tot_diss_nit","green_algae","bluegreen","diatoms","crypto","tot_microcyst_lcmsms","attenuation","transmission","par","sky","wave_height","wind_speed","sortchem","phyco_fluoresence","salinity","atmospheric_temp","particulate_cyl","orp","replicate_id","cyano_sonde","total_sonde","env_canada_site","site_number","env_Kenya_site","ammended_site_name","site_name_sitenumber","station_description","Notes"
"11","samp_4317",TRUE,NA,"NSF_ASI_11_S11","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.5216","34.45703","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","4.1","","0.5","","","7.4","26.5","","","","","","23.49477","5.37","140.5","0.5","19.9","1.8","","","","","74.688","ND","10.90144",NA,"41.70848","1.8",0.124,"","","","","","","","","","","","","","","","","","","","","","","","","129.186","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.06,NA,2.312,-52.7,"A",209000000,335000000,"","1","Site 9 R1","Homa Bay","1. Homa Bay","bloomy-cyanos","Cyano bloom"
"12","samp_4318",TRUE,NA,"NSF_ASI_12_S12","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.5216","34.45703","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","4.1","","0.5","","","7.4","26.5","","","","","","9.19056","5.37","140.5","0.5","19.9","1.8","","","","","74.688","ND","4.3358",NA,"14.10728","0.723",0.067,"","","","","","","","","","","","","","","","","","","","","","","","","137.507","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.06,NA,2.312,-52.7,"B",209000000,335000000,"","1","Site 9 R2","Homa Bay","1. Homa Bay","bloomy-cyanos","Cyano bloom"
"13","samp_4319",TRUE,NA,"NSF_ASI_13_S13","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4525","34.41326","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","5.6","","0.5","","","7.7","25.5","","","","","",NA,"6.88","142.1","0.7","21.7","","","","","","53.18",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.07,NA,NA,-52.7,"A",23800000,45500000,"","4","Site 10 R1","Soklo","4. Soklo","no bloom","Thicker pea soup bloom between sites 9-10"
"14","samp_4320",TRUE,NA,"NSF_ASI_14_S14","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4525","34.41326","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","5.6","","0.5","","","7.7","25.5","","","","","",NA,"6.88","142.1","0.7","21.7","","","","","","53.18",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.07,NA,NA,-52.7,"B",23800000,45500000,"","4","Site 10 R2","Soklo","4. Soklo","no bloom","Thicker pea soup bloom between sites 9-10"
"15","samp_4321",TRUE,NA,"NSF_ASI_15_S15","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.5220","34.45441","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","2","","0.5","","","7.4","26.9","","","","","","7.5654",NA,NA,NA,"21.9","","","","","",NA,"ND","3.49961",NA,"30.27112","0.593",0.053,"","","","","","","","","","","","","","","","","","","","","","","","","22.418","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",NA,NA,NA,NA,"A",249000000,375000000,"","2","Bloom gradient boat R1","Homa Bay Pier","2. Homa Bay Pier","Bloom gradient Pier","Cyano bloom"
"16","samp_4322",TRUE,NA,"NSF_ASI_16_S16","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.5220","34.45441","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","2","","0.5","","","7.4","26.9","","","","","","308.47218",NA,NA,NA,"21.9","","","","","",NA,"ND","10.87047",NA,"286.76384","22.229",0.231,"","","","","","","","","","","","","","","","","","","","","","","","","20.096","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",NA,NA,NA,NA,"B",249000000,375000000,"","2","Bloom gradient boat R2","Homa Bay Pier","2. Homa Bay Pier","Bloom gradient Pier","Cyano bloom"
"17","samp_4323",TRUE,NA,"NSF_ASI_17_S17","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.5214","34.45083","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","4","","0.5","","","7.1","26.6","","","","","","18.14295",NA,NA,NA,"19.6","","","","","",NA,"ND","1.95111",NA,"154.242","1.585",0.288,"","","","","","","","","","","","","","","","","","","","","","","","","365.631","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",NA,NA,NA,NA,"A",101000000,234000000,"","3","Bloom gradient pier R1","Homa Bay Water Intake","3. Homa Bay Water Intake","Bloom gradient water intake","No bloom"
"18","samp_4324",TRUE,NA,"NSF_ASI_18_S18","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.5214","34.45083","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","4","","0.5","","","7.1","26.6","","","","","","19.97826",NA,NA,NA,"19.6","","","","","",NA,"ND","1.73432",NA,"23.9932","1.772",0.344,"","","","","","","","","","","","","","","","","","","","","","","","","291.288","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",NA,NA,NA,NA,"B",101000000,234000000,"","3","Bloom gradient pier R2","Homa Bay Water Intake","3. Homa Bay Water Intake","Bloom gradient water intake","No bloom"
"19","samp_4325",TRUE,NA,"NSF_ASI_19_S19","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","",NA,NA,"2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","","","","","","","","","","","","",NA,"","","","","","","","","","",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,"A",NA,NA,"","H12","Bloom gradient water intake R1","Bloom gradient Boat","H12. Homa Bay Coast","none","Can just be treated like Homa  Bay"
"20","samp_4326",TRUE,NA,"NSF_ASI_20_S20","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","",NA,NA,"2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","","","","","","","","","","","","",NA,"","","","","","","","","","",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,"B",NA,NA,"","H12","Bloom gradient water intake R2","Bloom gradient Boat","H12. Homa Bay Coast","none","Can just be treated like Homa  Bay"
"21","samp_4327",TRUE,NA,"NSF_ASI_21_S22","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.3697","34.62892","2022-7-2","","large freshwater lake biome [ENVO:00000891]","","","","0.61","","0.5","","",">10","29.4","","","","","","64.40397",NA,NA,NA,NA,NA,"","","","",NA,"ND","2195.773",NA,"296.3972","8.155",0.736,"","","","","","","","","","","","","","","","","","","","","","","","","1028.65","",NA,"","","","","","","","","Sunny, clear skies, hot",NA,NA,"","",NA,NA,NA,NA,"A",NA,NA,"","S1","Alkaline Lake Simbi R1","Lake Simbi","S1. Lake Simbi ","Bloom-cyano","Cyano bloom"
"22","samp_4328",TRUE,NA,"NSF_ASI_22_S23","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.3697","34.62892","2022-7-2","","large freshwater lake biome [ENVO:00000891]","","","","0.61","","0.5","","",">10","29.4","","","","","","132.99693",NA,NA,NA,NA,NA,"","","","",NA,"ND","2309.7426",NA,"355.09936","10.872",1.09,"","","","","","","","","","","","","","","","","","","","","","","","","1090.099","",NA,"","","","","","","","","Sunny, clear skies, hot",NA,NA,"","",NA,NA,NA,NA,"B",NA,NA,"","S2","Alklaine Lake Simbi R2","Lake Simbi","S1. Lake Simbi ","Bloom-cyano","Cyano bloom"
"23","samp_4329",TRUE,NA,"NSF_ASI_23_S24","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.7586","36.42500","2022-7-12","","large freshwater lake biome [ENVO:00000891]","","","",NA,"","0.5","","","7.4",NA,"","","","","","0.8406",NA,NA,NA,NA,NA,"","","","",NA,"ND","0",NA,"3.49976","0.067",0.007,"","","","","","","","","","","","","","","","","","","","","","","","","51.955","",NA,"","","","","","","","","Overcast, cool tmperatures",NA,NA,"","",NA,NA,NA,NA,"A",NA,NA,"","N1","Non-alkaline Lake Naivasha R1","Lake Naivasha","N1. Lake Naivasha","No bloom","No bloom"
"24","samp_4330",TRUE,NA,"NSF_ASI_24_S25","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.7586","36.42500","2022-7-12","","large freshwater lake biome [ENVO:00000891]","","","",NA,"","0.5","","","7.4",NA,"","","","","","5.64603",NA,NA,NA,NA,NA,"","","","",NA,"ND","0.43358",NA,"10.69772","0.429",0.025,"","","","","","","","","","","","","","","","","","","","","","","","","47.861","",NA,"","","","","","","","","Overcast, cool tmperatures",NA,NA,"","",NA,NA,NA,NA,"B",NA,NA,"","N2","Non-alkaline Lake Naivasha R2","Lake Naivasha","N1. Lake Naivasha","No bloom","No bloom"
"25","samp_4331",TRUE,NA,"NSF_ASI_26_S26","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4200","34.20583","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","2.7","","0.5","","","7.4","25.6","","","","","","","5.61","99.5","1.7","5.8","","","","","","49.6875",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.05,NA,NA,-34.5,"A",1800000,5080000,"","6","Site 13 mouth of gulf R1","Mibita West","6. Mbita West","Whole water column diatoms","Diatoms"
"26","samp_4332",TRUE,NA,"NSF_ASI_27_S21","set_55","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4200","34.20583","2022-6-24","","large freshwater lake biome [ENVO:00000891]","","","","2.7","","0.5","","","7.4","25.6","","","","","","","5.61","99.5","1.7","5.8","","","","","","49.6875",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Storm last night, sunny",NA,NA,"","",0.05,NA,NA,-34.5,"B",1800000,5080000,"","6","Site 13 mouth of gulf R2","Mibita West","6. Mbita West","Whole water column diatoms","Diatoms"
"27","samp_4432",NA,NA,"GB-1","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.1041","34.74074","2023-5-29","","large freshwater lake biome [ENVO:00000891]","","","","5.4","","1","","","6.7","26.84","","","","","","1.995","4.26","180","0.6","22.4","0.378","","","","","","143","13.65","10.95","5.77","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","1470",411,"","","","","","","","","sunny","0","5","","",0.08,21,NA,-106.5,"A",49400000,98900000,"","10","Harbour/pier","Kisumu Harbor","10. Kisumu Harbor","near port, industry, institutes",""
"28","samp_4433",NA,NA,"GB-2","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.1539","34.72810","2023-5-29","","large freshwater lake biome [ENVO:00000891]","","","","6","","1","","","7.3","26.55","","","","","","26.015",NA,NA,NA,"32.6","0.2","","","","","","74.8","11.4525","9.59","64.7","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","888",676.5,"","","","","","","","","sunny","0","4","","",NA,23,NA,-83.2,"A",6100000,52500000,"","11","Dunga","Dunga","11. Dunga","fish cages, hotels",""
"29","samp_4434",NA,NA,"GB-3","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.3185","34.75242","2023-5-29","","large freshwater lake biome [ENVO:00000891]","","","","3.7","","1","","","8.5","26.56","","","","","","42.45","5.95","142.2","0.55","48.1","0.363","","","","","","176","43.6","21.45","231.5","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","1690",1524,"","","","","","","","","sunny","0","5","","",0.04,28,NA,-107.9,"A",20900000,107000000,"","15","Sondu Miriu","Sondu Miriu","15. Sondu Miriu","river mouth","Lots of hyacinth"
"30","samp_4435",NA,NA,"GB-4","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.2572","34.70315","2023-5-29","","large freshwater lake biome [ENVO:00000891]","","","","6.4","","1","","","8.1","26.09","","","","","","45.05","5.17","144.2","0.55","42.8","0.247","","","","","","60.65","12.05","12.15","14.35","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","619",835,"","","","","","","","","partly cloudy","0","5","","",0.04,28,NA,-99.2,"A",5400000,18300000,"","17","Mid gulf","Southern Mid-Gulf","17. Southern Mid-Gulf","middle of gulf, far from shore",""
"31","samp_4436",NA,NA,"GB-5","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.3471","34.64945","2023-5-30","","large freshwater lake biome [ENVO:00000891]","","","","3.2","","1","","","7.1","29.7","","","","","","27.1","4.38","142.5","0.35","31.9","0.079","","","","","","296","17.75","22.05","274.5","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","2765",745.5,"","","","","","","","","sunny","0","7","","",0.05,22,NA,-129.5,"A",33900000,173000000,"","18","Awach River mouth","Awach River mouth","18. Awach River Mouth","river mouth, farming, wetlands","labeled on LH samples as Kendu Bay, 1 culture sample from pier 1 culture sample from outside of pier at sampling station"
"32","samp_4437",NA,NA,"GB-6","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.3144","34.56518","2023-5-30","","large freshwater lake biome [ENVO:00000891]","","","","8.1","","1","","","7.7","28.7","","","","","","74.41","5.02","141.9","0.6","34.5","0.15","","","","","","77.9","16.9","28.275","165","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","1975",316,"","","","","","","","","sunny","0","6","","",0.05,26,NA,-136.5,"A",5200000,72700000,"","19","Bala Rawi","Bala Rawi","19. Bala Rawi","wetlands","LH labeled samples as Miti Mbiti"
"33","samp_4438",NA,NA,"GB-7","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.3505","34.45655","2023-5-30","","large freshwater lake biome [ENVO:00000891]","","","","10.3","","1","","","8.7","28.4","","","","","","ND","5.99","138.5","0.7","27.7","0.266","","","","","","90.5","17.45","10.6","ND","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","463",252.75,"","","","","","","","","sunny","0","2","","",0.05,26,NA,-95.4,"A",55200000,206000000,"","20","Ingra","Ingra","20. Ingra","farming, mining",""
"34","samp_4439",NA,NA,"GB-8","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4400","34.47360","2023-5-30","","large freshwater lake biome [ENVO:00000891]","","","","5.9","","1","","","7.3","27.8","","","","","","3.635","6.31","138.7","0.8","32.6",NA,"","","","","","101","25.75","17.25","7.67","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","699",386,"","","","","","","","","sunny","0","7","","",0.05,27,NA,-129.7,"A",6100000,52500000,"","21","Kowuor","Kowuor","21. Kowuor","farming, wetlands",""
"35","samp_4440",NA,NA,"GB-9","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4731","34.49207","2023-5-31","","large freshwater lake biome [ENVO:00000891]","","","","6.8","","1","","","8.7","26.32","","","","","","1.83","6.92","143.2","0.5","34","0.086","","","","","","65.9","21","9.03","ND","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","496",353,"","","","","","","","","partly cloudy, mixed skies","0.3","1.5","","",0.04,18,NA,-168.3,"A",7600000,79700000,"","22","Oluch","Oluch","22. Oluch","farming, wetlands",""
"36","samp_4441",NA,NA,"GB-10","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4294","34.36400","2023-5-31","","large freshwater lake biome [ENVO:00000891]","","","","11.8","","1","","","8.6","26.32","","","","","","4.505","7.16","143.7","0.8","27.9","0.149","","","","","","93","31.2","25.7","13.05","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","816",406,"","","","","","","","","cloudy, mixed skies","0.3","1.5","","",0.05,22,NA,-78.3,"A",13900000,50100000,"","23","Sukru Island/Sikli","Sikli","23. Sikli","human settlement, industrialization","LH samples labeled as Sikli"
"37","samp_4442",NA,NA,"GB-11","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4779","34.35530","2023-5-31","","large freshwater lake biome [ENVO:00000891]","","","","6.3","","1","","","8.6","26.48","","","","","","ND","6.36","142.5","0.4","27.7","0.311","","","","","","303","21.825","12.85","5.95","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","3500",303.5,"","","","","","","","","cloudy, mixed skies","0.3","1.5","","",0.05,24,NA,-98.6,"A",12900000,38100000,"","24","Mirunda","Mirunda","24. Mirunda","wetland, farming hills","Sample taken from left side of boat because sewage leak on other side of boat"
"38","samp_4443",NA,NA,"GB-12","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4155","34.20972","2023-6-1","","large freshwater lake biome [ENVO:00000891]","","","","11.3","","1","","","7.4","25.26","","","","","","ND","8.68","146.3","1.95","13.5","0.138","","","","","","50.5","21.55","12.375","ND","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","265",204.75,"","","","","","","","","sunny","0.5","3.5","","",0.05,22,NA,-89.3,"A",2400000,7030000,"","25","Mbita East","Mbita East","25. Mbita East","urbanization, farming, wetlands","barely any bloom, easterly wind changed direction east"
"39","samp_4444",NA,NA,"GB-13","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4233","34.19795","2023-6-1","","large freshwater lake biome [ENVO:00000891]","","","","9.3","","1","","","8.3","25.5","","","","","","ND","9.9","146.1","1.9","5",NA,"","","","","","52.8","31.3","20.6","4.03","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","302",291,"","","","","","","","","sunny","0.5","3.5","","",0.05,21,NA,-65.4,"A",1800000,4940000,"","26","Mbita West","Mbita West","26. Mbita West","bridge, urbanization, boats docking","easterly wind, took dingy for sampling"
"40","samp_4445",NA,NA,"GB-14","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.4055","34.10967","2023-6-1","","large freshwater lake biome [ENVO:00000891]","","","","44.3","","1","","","7.8","26.1","","","","","","7.62","10.98","85","2.5","5.3","0.121","","","","","","44.4","32","20.95","ND","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","361",236.5,"","","","","","","","","sunny, clear","0.3","0","","",0.04,27,NA,-45.1,"A",9300000,10700000,"","27","Bridge Island","Bridge Island","27. Bridge Island","open water","sonde and torch didn't go very deep, fine because we sampled from 1meter depth"
"41","samp_4446",NA,NA,"GB-15","set_57","","","","","","","","metagenome",NA,"","","","Lake Victoria","","-0.2683","34.14810","2023-6-2","","large freshwater lake biome [ENVO:00000891]","","","","30","","1","","","9",NA,"","","","","","ND",NA,NA,NA,NA,"0.367","","","","","","133","15.775","4.87","ND","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","1400",250,"","","","","","","","","sunny","0","4","","",NA,24,NA,NA,"A",NA,NA,"","28","Super green/Bondo","Bondo","28. Bondo","open water","gentle westerly winds, labeled as offshore for LH samples"
