BGC Locus,BGC Definition,Start,End,Length,Product,Locus Tag,Note,Gene Functions,Description,Gene Ontologies,Gene Kind
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,14222,15725,1503,,ctg1_24,,,,,
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,15797,22205,6408,,ctg1_25,,biosynthetic (rule-based-clusters) T1PKS: hyb_KS;biosynthetic (rule-based-clusters) T1PKS: PKS_AT;biosynthetic (rule-based-clusters) NRPS-like: PP-binding;biosynthetic (rule-based-clusters) NRPS-like: AMP-binding;biosynthetic-additional (smcogs) SMCOG1002:AMP-dependent synthetase and ligase (Score: 363.5; E-value: 2.5e-110),,,biosynthetic
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,22321,25867,3546,,ctg1_26,,biosynthetic-additional (rule-based-clusters) adh_short;biosynthetic-additional (rule-based-clusters) Polysacc_synt_2;biosynthetic-additional (rule-based-clusters) PP-binding;biosynthetic-additional (smcogs) SMCOG1001:short-chain dehydrogenase/reductase SDR (Score: 63.7; E-value: 3.2e-19),,,biosynthetic-additional
samp_4444_semibin_567_contig_259_T1PKS,samp_4444_semibin_567_contig_259_T1PKS / NRPS-like,25863,27405,1542,,ctg1_27,,biosynthetic-additional (rule-based-clusters) Condensation;biosynthetic-additional (smcogs) SMCOG1127:condensation domain-containing protein (Score: 377; E-value: 2.4e-114),,,biosynthetic-additional
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,283,397,114,,ctg2_1,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,635,3374,2739,,ctg2_2,,biosynthetic (rule-based-clusters) NRPS-like: PP-binding;biosynthetic (rule-based-clusters) NRPS-like: AMP-binding;biosynthetic-additional (smcogs) SMCOG1002:AMP-dependent synthetase and ligase (Score: 311.3; E-value: 1.6e-94),,,biosynthetic
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,3722,5393,1671,,ctg2_3,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,6412,7774,1362,,ctg2_4,,other (smcogs) SMCOG1194:DNA polymerase III subunit alpha (Score: 296.1; E-value: 9.3e-90),,,other
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,7805,8051,246,,ctg2_5,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,8119,9106,987,,ctg2_6,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,9215,9320,105,,ctg2_7,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,9339,10800,1461,,ctg2_8,,biosynthetic-additional (smcogs) SMCOG1105:amidase (Score: 559.5; E-value: 1e-169),,,biosynthetic-additional
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,11039,11318,279,,ctg2_9,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,11290,12286,996,,ctg2_10,,biosynthetic-additional (smcogs) SMCOG1001:short-chain dehydrogenase/reductase SDR (Score: 115.6; E-value: 4.4e-35),,,biosynthetic-additional
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,12422,13439,1017,,ctg2_11,,transport (smcogs) SMCOG1000:ABC transporter ATP-binding protein (Score: 244.8; E-value: 1.5e-74),,,transport
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,13810,14428,618,,ctg2_12,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,14420,14627,207,,ctg2_13,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,14865,15642,777,,ctg2_14,,biosynthetic-additional (rule-based-clusters) adh_short;biosynthetic-additional (rule-based-clusters) adh_short_C2;biosynthetic-additional (smcogs) SMCOG1001:short-chain dehydrogenase/reductase SDR (Score: 270.9; E-value: 1.6e-82),,,biosynthetic-additional
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,15706,16795,1089,,ctg2_15,,biosynthetic-additional (rule-based-clusters) Glycos_transf_4,,,biosynthetic-additional
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,16976,18665,1689,,ctg2_16,,other (smcogs) SMCOG1299:chaperonin GroEL (Score: 829.9; E-value: 1.2e-251),,,other
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,18692,18794,102,,ctg2_17,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,18881,18998,117,,ctg2_18,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,19019,20411,1392,,ctg2_19,,other (smcogs) SMCOG1054:hypothetical protein (Score: 183.5; E-value: 1.4e-55),,,other
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,21195,22647,1452,,ctg2_20,,,,,
samp_4325_concoct_153_contig_28_NRPS-like,samp_4325_concoct_153_contig_28_NRPS-like,22756,23374,618,,ctg2_21,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,2,350,348,,ctg3_1,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,384,861,477,,ctg3_2,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,889,1102,213,,ctg3_3,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,1420,2449,1029,,ctg3_4,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,2643,3078,435,,ctg3_5,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,3180,4140,960,,ctg3_6,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,4199,6560,2361,,ctg3_7,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,6632,7187,555,,ctg3_8,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,7270,7777,507,,ctg3_9,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,7953,8136,183,,ctg3_10,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,8132,8954,822,,ctg3_11,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,9077,9671,594,,ctg3_12,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,9995,10664,669,,ctg3_13,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,10660,10939,279,,ctg3_14,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,11264,12494,1230,,ctg3_15,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,12603,13956,1353,,ctg3_16,,biosynthetic-additional (rule-based-clusters) Condensation,,,biosynthetic-additional
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,14069,15806,1737,,ctg3_17,,biosynthetic-additional (smcogs) SMCOG1021:malonyl CoA-acyl carrier protein transacylase (Score: 493.1; E-value: 2.1e-149),,,biosynthetic-additional
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,15913,17599,1686,,ctg3_18,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,17865,18570,705,,ctg3_19,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,18626,19979,1353,,ctg3_20,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,20001,24909,4908,,ctg3_21,,biosynthetic (rule-based-clusters) hglE-KS: hglE;biosynthetic-additional (rule-based-clusters) PKS_AT;biosynthetic-additional (rule-based-clusters) PP-binding;biosynthetic-additional (smcogs) SMCOG1022:Beta-ketoacyl synthase (Score: 269.5; E-value: 8.9e-82),,,biosynthetic
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,25594,25924,330,,ctg3_22,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,26237,27560,1323,,ctg3_23,,transport (smcogs) SMCOG1029:RND family efflux transporter MFP subunit (Score: 191.8; E-value: 2.7e-58),,,transport
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,27579,28755,1176,,ctg3_24,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,28773,29478,705,,ctg3_25,,transport (smcogs) SMCOG1000:ABC transporter ATP-binding protein (Score: 194.5; E-value: 3.5e-59),,,transport
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,29521,30385,864,,ctg3_26,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,30606,31608,1002,,ctg3_27,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,31730,32270,540,,ctg3_28,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,32470,32776,306,,ctg3_29,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,32783,33092,309,,ctg3_30,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,33343,35638,2295,,ctg3_31,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,36467,37709,1242,,ctg3_32,,,,,
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,37910,38975,1065,,ctg3_33,,biosynthetic-additional (rule-based-clusters) Polysacc_synt_2;biosynthetic-additional (rule-based-clusters) RmlD_sub_bind;biosynthetic-additional (smcogs) SMCOG1010:NAD-dependent epimerase/dehydratase (Score: 142.3; E-value: 3.8e-43),,,biosynthetic-additional
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,39009,40311,1302,,ctg3_34,,biosynthetic-additional (rule-based-clusters) Glycos_transf_2;biosynthetic-additional (smcogs) SMCOG1123:polyprenol-monophosphomannose synthase ppm1 (Score: 142.8; E-value: 2.8e-43),,,biosynthetic-additional
samp_4325_concoct_153_contig_525_hglE-KS,samp_4325_concoct_153_contig_525_hglE-KS,40767,41481,714,,ctg3_35,,,,,
samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,94,442,348,,ctg4_1,,biosynthetic-additional (rule-based-clusters) TIGR03798,,,biosynthetic-additional
samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,573,864,291,,ctg4_2,,,,,
samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,878,4232,3354,,ctg4_3,,biosynthetic (rule-based-clusters) lanthipeptide-class-ii: DUF4135;biosynthetic (rule-based-clusters) lanthipeptide-class-ii: LANC_like;biosynthetic-additional (smcogs) SMCOG1070:lanthionine synthetase C family protein (Score: 782.3; E-value: 1.2e-236),,,biosynthetic
samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,4626,5298,672,,ctg4_4,,,,,
samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,samp_4319_concoct_522_contig_1241_lanthipeptide-class-ii,5386,5638,252,,ctg4_5,,,,,
samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,711,969,258,,ctg5_1,,,,,
samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,1133,1346,213,,ctg5_2,,,,,
samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,1399,2560,1161,,ctg5_3,,biosynthetic (rule-based-clusters) lanthipeptide-class-v: APH,,,biosynthetic
samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,2576,3662,1086,,ctg5_4,,biosynthetic (rule-based-clusters) lanthipeptide-class-v: HopA1,,,biosynthetic
samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,3760,4075,315,,ctg5_5,,,,,
samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,4120,4216,96,,ctg5_6,,,,,
samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,4259,5384,1125,,ctg5_7,,biosynthetic-additional (rule-based-clusters) Glycos_transf_1;biosynthetic-additional (smcogs) SMCOG1045:glycosyl transferase group 1 (Score: 178.6; E-value: 3.8e-54),,,biosynthetic-additional
samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,5383,6211,828,,ctg5_8,,biosynthetic-additional (rule-based-clusters) Glycos_transf_2,,,biosynthetic-additional
samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,samp_4447_maxbin_94_contig_103_lanthipeptide-class-v,6250,7429,1179,,ctg5_9,,biosynthetic-additional (rule-based-clusters) Glycos_transf_1,,,biosynthetic-additional
samp_4447_maxbin_94_contig_134_NRPS-like,samp_4447_maxbin_94_contig_134_NRPS-like,0,66,66,,ctg6_1,,,,,
samp_4447_maxbin_94_contig_134_NRPS-like,samp_4447_maxbin_94_contig_134_NRPS-like,273,510,237,,ctg6_2,,,,,
samp_4447_maxbin_94_contig_134_NRPS-like,samp_4447_maxbin_94_contig_134_NRPS-like,509,848,339,,ctg6_3,,,,,
samp_4447_maxbin_94_contig_134_NRPS-like,samp_4447_maxbin_94_contig_134_NRPS-like,893,2573,1680,,ctg6_4,,,,,
samp_4447_maxbin_94_contig_134_NRPS-like,samp_4447_maxbin_94_contig_134_NRPS-like,2583,2754,171,,ctg6_5,,,,,
samp_4447_maxbin_94_contig_134_NRPS-like,samp_4447_maxbin_94_contig_134_NRPS-like,2778,4140,1362,,ctg6_6,,other (smcogs) SMCOG1194:DNA polymerase III subunit alpha (Score: 293.9; E-value: 4e-89),,,other
samp_4447_maxbin_94_contig_134_NRPS-like,samp_4447_maxbin_94_contig_134_NRPS-like,4682,6431,1749,,ctg6_7,,,,,
samp_4447_maxbin_94_contig_134_NRPS-like,samp_4447_maxbin_94_contig_134_NRPS-like,6807,7884,1077,,ctg6_8,,,,,
samp_4447_maxbin_94_contig_134_NRPS-like,samp_4447_maxbin_94_contig_134_NRPS-like,7902,9462,1560,,ctg6_9,,biosynthetic (rule-based-clusters) NRPS-like: PP-binding;biosynthetic (rule-based-clusters) NRPS-like: AMP-binding,,,biosynthetic
samp_4435_semibin_217_contig_325_NRPS-like,samp_4435_semibin_217_contig_325_NRPS-like,2,2636,2634,,ctg7_1,,biosynthetic (rule-based-clusters) NRPS: Condensation;biosynthetic (rule-based-clusters) NRPS: AMP-binding;biosynthetic-additional (smcogs) SMCOG1127:condensation domain-containing protein (Score: 52.1; E-value: 1e-15),,,biosynthetic
samp_4435_semibin_217_contig_325_NRPS-like,samp_4435_semibin_217_contig_325_NRPS-like,2645,6173,3528,,ctg7_2,,biosynthetic (rule-based-clusters) NRPS-like: PP-binding;biosynthetic (rule-based-clusters) NRPS-like: AMP-binding;biosynthetic-additional (smcogs) SMCOG1002:AMP-dependent synthetase and ligase (Score: 350.1; E-value: 2.8e-106),,,biosynthetic
samp_4435_semibin_217_contig_325_NRPS-like,samp_4435_semibin_217_contig_325_NRPS-like,6169,7429,1260,,ctg7_3,,biosynthetic-additional (rule-based-clusters) p450;biosynthetic-additional (smcogs) SMCOG1007:cytochrome P450 (Score: 367; E-value: 1.8e-111),,,biosynthetic-additional
samp_4435_semibin_217_contig_325_NRPS-like,samp_4435_semibin_217_contig_325_NRPS-like,7698,8076,378,,ctg7_4,,,,,
samp_4435_semibin_217_contig_325_NRPS-like,samp_4435_semibin_217_contig_325_NRPS-like,8995,9484,489,,ctg7_5,,,,,
samp_4435_semibin_217_contig_325_NRPS-like,samp_4435_semibin_217_contig_325_NRPS-like,9649,10813,1164,,ctg7_6,,biosynthetic-additional (rule-based-clusters) PP-binding;biosynthetic-additional (rule-based-clusters) PF00561,,,biosynthetic-additional
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,1,2185,2184,,ctg8_1,,biosynthetic (rule-based-clusters) NRPS-like: PP-binding;biosynthetic (rule-based-clusters) NRPS-like: AMP-binding;biosynthetic-additional (rule-based-clusters) PF00561;biosynthetic-additional (rule-based-clusters) Abhydrolase_6;biosynthetic-additional (smcogs) SMCOG1002:AMP-dependent synthetase and ligase (Score: 255.7; E-value: 1.2e-77),,,biosynthetic
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,2081,2585,504,,ctg8_2,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,3055,3445,390,,ctg8_3,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,3596,4178,582,,ctg8_4,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,4137,4689,552,,ctg8_5,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,5130,5862,732,,ctg8_6,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,6090,6354,264,,ctg8_7,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,6990,7551,561,,ctg8_8,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,7625,8357,732,,ctg8_9,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,8406,9156,750,,ctg8_10,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,9221,10754,1533,,ctg8_11,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,10765,11230,465,,ctg8_12,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,11324,11846,522,,ctg8_13,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,12088,13612,1524,,ctg8_14,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,13705,14299,594,,ctg8_15,,,,,
samp_4435_semibin_217_contig_357_NRPS-like,samp_4435_semibin_217_contig_357_NRPS-like,14477,14645,168,,ctg8_16,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,0,213,213,,ctg9_1,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,1307,1904,597,,ctg9_2,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,2042,2504,462,,ctg9_3,,regulatory (smcogs) SMCOG1266:hydrogen peroxide sensitive repressor (Score: 120.9; E-value: 6e-37),,,regulatory
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,2527,3721,1194,,ctg9_4,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,3740,4976,1236,,ctg9_5,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,4972,5647,675,,ctg9_6,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,5652,6402,750,,ctg9_7,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,6545,7415,870,,ctg9_8,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,7335,7707,372,,ctg9_9,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,7780,8617,837,,ctg9_10,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,8655,9060,405,,ctg9_11,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,9059,9329,270,,ctg9_12,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,9389,9995,606,,ctg9_13,,,,,
samp_4444_semibin_482_contig_165_terpene,samp_4444_semibin_482_contig_165_terpene,10001,10832,831,,ctg9_14,,biosynthetic (rule-based-clusters) terpene: Lycopene_cycl,,,biosynthetic
samp_4444_semibin_482_contig_216_terpene,samp_4444_semibin_482_contig_216_terpene,2,839,837,,ctg10_1,,,,,
samp_4444_semibin_482_contig_216_terpene,samp_4444_semibin_482_contig_216_terpene,941,1703,762,,ctg10_2,,regulatory (smcogs) SMCOG1008:response regulator (Score: 238.1; E-value: 1.4e-72),,,regulatory
samp_4444_semibin_482_contig_216_terpene,samp_4444_semibin_482_contig_216_terpene,1692,3030,1338,,ctg10_3,,,,,
samp_4444_semibin_482_contig_216_terpene,samp_4444_semibin_482_contig_216_terpene,3099,4098,999,,ctg10_4,,biosynthetic-additional (rule-based-clusters) fabH;biosynthetic-additional (smcogs) SMCOG1084:3-oxoacyl-(acyl carrier protein) synthase III (Score: 343.4; E-value: 1.9e-104),,,biosynthetic-additional
samp_4444_semibin_482_contig_216_terpene,samp_4444_semibin_482_contig_216_terpene,4128,5019,891,,ctg10_5,,biosynthetic-additional (rule-based-clusters) PKS_AT;biosynthetic-additional (smcogs) SMCOG1021:malonyl CoA-acyl carrier protein transacylase (Score: 268.4; E-value: 2.5e-81),,,biosynthetic-additional
samp_4444_semibin_482_contig_216_terpene,samp_4444_semibin_482_contig_216_terpene,5042,5771,729,,ctg10_6,,biosynthetic-additional (smcogs) SMCOG1141:acyltransferase (Score: 155.6; E-value: 2.1e-47),,,biosynthetic-additional
samp_4444_semibin_482_contig_216_terpene,samp_4444_semibin_482_contig_216_terpene,5685,6354,669,,ctg10_7,,,,,
